Sample_Code,Animal,Time,Sex,Diet,Volume_raw,Volume_Norm,Stiffness,PV_flow,HA_flow,Oxygenation,Bodyweight,Vol_to_bw,Norm_Vol_to_bw,PV_velocity,PV_diameter,Rel_Bw
A45_0.3,A45,0.3,Female,Ethanol,1811.215,0.290248907,,1.367428,0.793092,53.08706,279.8,6.473248749,0.304979194,36.09433333,1.207,0.95170068
A45_10,A45,10,Female,Ethanol,2241.471,0.359197835,,2.395978,0.990932,51.91181,278.7,8.042594187,0.378916984,80.655,1.189,0.947959184
A45_24,A45,24,Female,Ethanol,2542.725,0.407474072,,1.62764,0.971406,55.12151,282.7,8.994428723,0.423761504,50.35366667,1.321,0.961564626
A45_48,A45,48,Female,Ethanol,3880.945,0.621925085,,0.759132,0.747832,53.38647,274.7,14.12793957,0.665620586,40.55,1.242,0.934353741
A45_72,A45,72,Female,Ethanol,4332.67,0.694314441,,0.673116,0.554073,56.93645,277.3,15.62448612,0.736128545,29.40966667,1.451,0.943197279
A45_168,A45,168,Female,Ethanol,5900.017,0.945483271,,0.55968,,59.77264,288.4,20.45775659,0.96384217,27.182,1.606,0.980952381
A45_336,A45,336,Female,Ethanol,5377.568,0.861760328,,0.842659,0.433806,55.28447,292.2,18.40372348,0.867068913,49.01633333,1.401,0.993877551
A46_-24,A46,-24,Female,Carbohydrate,5349.206,1,,0.534558,0.346996,53.66209,354,15.11075141,1,80.20933333,0.87,1
A46_0.3,A46,0.3,Female,Carbohydrate,1545.819,0.288981019,,1.307253,1.027039,52.91388,342.5,4.513340146,0.298684031,38.76733333,1.052,0.967514124
A46_10,A46,10,Female,Carbohydrate,1918.108,0.358578077,,2.497191,0.911186,54.28623,336.1,5.706956263,0.377675213,65.504,1.246,0.949435028
A46_24,A46,24,Female,Carbohydrate,2900.244,0.542182148,,1.180055,0.608046,56.56381,339.6,8.540176678,0.565172204,38.322,1.377,0.959322034
A46_48,A46,48,Female,Carbohydrate,3515.762,0.657249319,,0.934717,0.418491,54.38647,335.4,10.48229577,0.69369785,35.64866667,1.399,0.947457627
A46_72,A46,72,Female,Carbohydrate,3629.583,0.67852743,,0.779942,0.530254,55.83996,337.3,10.76069671,0.71212188,34.75733333,1.315,0.952824859
A46_168,A46,168,Female,Carbohydrate,4249.037,0.794330411,,0.475585,0.642881,54.37606,342.4,12.40957068,0.821241137,38.76733333,1.428,0.967231638
A46_336,A46,336,Female,Carbohydrate,5127.356,0.958526555,,0.394117,,55.13434,341.6,15.00982436,0.993320845,38.76733333,1.225,0.964971751
